INFO:root:401-Garrulus_glandarius 443537.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 496370.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 194381.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 456489.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 545451.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 347876.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 84024.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 448580.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 299293.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 493170.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 563459.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 356338.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 304929.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 337216.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 83818.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 399243.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 168268.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 443651.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 308733.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 83600.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 43833.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 144314.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 463229.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 495532.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 307358.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 405664.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 483692.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 503813.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 404347.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 76858.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 546054.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 512257.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 575448.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 553431.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 462323.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 546756.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 542121.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 429771.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 552630.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 553976.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 404341.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 550834.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 558998.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 542165.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 254636.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 237696.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 339837.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 439206.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 528640.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 541493.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 429338.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 201663.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 131457.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 555454.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 551223.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 535991.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 538451.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 429346.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 557856.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 409156.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 175433.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 541335.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 553978.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 270000.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 562758.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 564743.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 543433.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 493026.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 358992.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 71023.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 498482.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 176830.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 537641.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 523175.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 236627.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 201670.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 546000.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 202551.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 537911.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 499772.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 143224.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 551751.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 172459.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 393757.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 462263.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 254637.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 567978.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 547107.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 522491.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 558543.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 202831.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 375563.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 508343.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 558546.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 542836.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 382688.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 557171.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 207395.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 541328.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 541329.mp3 is too short, ignored.
INFO:root:32-Fulica_atra 536001.mp3 is too short, ignored.
INFO:root:43-Troglodytes_aedon 483500.mp3 is too short, ignored.
